Index,Index.1,Ticker,Company,Total GHG,naics
290,290.0,VVC,VECTREN,4405962.0,221210.0
291,291.0,WCN,"WASTE CONNECTIONS,INC.",2558097.0,562920.0
292,292.0,WHR,WHIRLPOOL CORPORATION,54964.0,335224.0
293,293.0,WLK,WESTLAKE CHEMICAL CORPORATION,1647626.0,325193.0
294,294.0,WLL,WHITING PETROLEUM CORPORATION,45320.0,211111.0
295,295.0,WM,"WASTE MANAGEMENT,INC.",21529823.75,562212.0
296,296.0,WMB,"THE WILLIAMS COMPANIES,INC.",2895156.4,486210.0
297,297.0,WPP,WAUSAU PAPER CORPORATION,233842.0,322122.0
298,298.0,WPZ,WILLIAMS PARTNERS L.P.,3605452.4,486210.0
299,299.0,WR,"WESTAR ENERGY,INC.",19260759.16,221111.0
300,300.0,WY,WEYERHAEUSER COMPANY,558064.0,113310.0
301,301.0,X,UNITED STATES STEEL CORPORATION,26893214.55,331221.0
302,302.0,XEL,"XCEL ENERGY,INC.",36025439.0,221121.0
303,303.0,XOM,EXXONMOBIL CORP,31715434.0,324110.0
304,304.0,XRX,XEROX CORPORATION,38415.0,334119.0
305,305.0,XTO,"XTO ENERGY,INC.",757627.0,211111.0
