Company,Total GHG,Matched
"Cc metals and alloys, llc",386849.0,None
Patara oil & gas llc,56162.0,None
"Cemex, inc.",727001.0,None
Cemex inc.,50341.0,None
Cemex,2241276.0,None
"Cemex, inc",1460857.36,None
"Cemex, inc.",440288.0,None
"Cemex de puerto rico, inc.",361202.0,None
Center ethanol company llc,88702.0,None
"Farmers union industries, llc",56672.0,None
Central michigan university,14604.0,None
"Central indiana ethanol, llc",75177.0,None
County of maui,24300.0,None
Waste corporation of missouri,146748.0,None
Local government,48895.0,None
Worcester county department of public works,127671.0,None
"Transload america, inc.",111065.0,None
Century aluminum company,520387.0,Century aluminum co
City of albuquerque,30728.0,None
Certainteed corporation,74438.0,None
Saint-gobain north america,103216.0,None
Saint-gobain corporation north america inc.,40230.0,None
Saint-gobain corporation,30952.0,None
Evraz inc. na,286132.0,None
"Cf industries holdings, inc.",9229042.0,None
"Cf industries, inc.",1448598.0,None
Carroll grayson galax solid waste authority,41535.0,None
Cgs services inc.,158891.0,None
"Chalk cliff, ltd.",174645.0,None
Chalmette refining llc,1833245.0,None
Lyondellbasell industries,6012990.0,None
Gerdau,324142.0,None
Charles county department of public facilities,47096.0,None
City of garland,189000.0,None
Charleston county government,117100.0,None
"Charlotte county, fl",581254.0,None
Charlotte pipe & foundry company,29493.0,None
Charter manufacturing,136993.0,None
Charter manufacturing co. inc.,96865.0,None
City of mobile environmental services dept.,38080.0,None
"Waste management, inc.",1298593.75,None
"Quantum resources management, llc",129528.0,None
E. i dupont de nemours and company,5795.0,None
E.i. du pont de nemours and company,59183.0,None
E. i. dupont de nemours and company,1800616.0,None
E.i. dupont de nemours and company,4362060.0,None
"Casella waste systems, inc.",639677.0,None
"Aurora energy, llc",390200.0,None
Lsb chemical corporation,411709.0,None
"Merck & co., inc.",241791.0,None
Chevron phillips chemical company lp,1846346.0,None
Chevron corporation,23546.5,None
Conoco phillips,43920.0,Conocophillips
City of cheyenne,71992.0,None
Ameresco chicopee lfgte,44456.0,None
"Ziemax, inc.",44456.0,None
"Chief industries, inc.",179171.0,None
Childrens hospital medical center,27704.0,None
County of kern,18945.0,None
Chippewa valley agrafuels cooperative,72493.0,None
Conoco phillips,122351.0,Conocophillips
